orcid,predicted_faculties,prediction_confidence
0000-0002-2377-5963,sowi,0.95
0000-0002-2379-5681,rewi,1
0000-0002-2382-8818,mint,0.95
0000-0002-2383-3596,med,1
0000-0002-2384-1588,sowi,0.95
0000-0002-2385-2287,med,1
0000-0002-2403-9597,med,1
0000-0002-2404-4257,sowi,0.95
0000-0002-2409-0392,mint,1
0000-0002-2413-296X,med,1
0000-0002-2414-2674,med,1
0000-0002-2421-6127,med,1
0000-0002-2429-933X,med,1
0000-0002-2440-4662,phil,0.95
0000-0002-2445-3018,phil,1
0000-0002-2455-5719,mint,0.95
0000-0002-2456-2775,sowi,0.95
0000-0002-2456-827X,phil,0.95
0000-0002-2456-8683,sowi,1
0000-0002-2468-9389,mint,1
0000-0002-2470-1819,med,1
0000-0002-2475-2165,phil,0.95
0000-0002-2483-5139,mint,0.95
0000-0002-2487-535X,mint,0.95
0000-0002-2505-6014,mint,0.95
0000-0002-2507-7472,sowi,0.95
0000-0002-2512-3600,mint,1
0000-0002-2517-3608,agrar,1
0000-0002-2526-0007,sowi,0.95
0000-0002-2539-2165,mint,0.95
0000-0002-2545-9999,mint,0.95
0000-0002-2546-8633,mint,1
0000-0002-2548-0333,phil,0.95
0000-0002-2552-7795,sowi,0.95
0000-0002-2554-4499,mint,1
0000-0002-2554-9150,sowi,0.95
0000-0002-2558-2735,med,1
0000-0002-2572-4131,med,1
0000-0002-2584-546X,sowi,0.95
0000-0002-2592-9348,med,1
0000-0002-2595-6012,agrar,0.95
0000-0002-2597-7120,mint,1
0000-0002-2604-6336,mint,0.95
0000-0002-2607-7415,sowi,0.4
0000-0002-2620-180X,sowi,1
0000-0002-2622-290X,sowi,1
0000-0002-2627-833X,med,0.95
0000-0002-2629-9392,phil,1
0000-0002-2631-6615,mint,1
0000-0002-2632-800X,med,1
0000-0002-2636-3438,agrar,1
0000-0002-2643-3387,mint,1
0000-0002-2650-7956,med,0.95
0000-0002-2651-1293,mint,1
0000-0002-2653-9245,mint,0.95
0000-0002-2656-1194,agrar,1
0000-0002-2656-3878,mint,1
0000-0002-2657-5043,tech,1
0000-0002-2660-625X,med,0.95
0000-0002-2666-5997,med,1
0000-0002-2669-8799,med,1
0000-0002-2680-327X,mint,0.95
0000-0002-2697-3535,sowi,0.95
0000-0002-2700-5317,med,1
0000-0002-2701-3982,mint,0.95
0000-0002-2702-7719,mint,0.95
0000-0002-2704-6178,sowi,0.95
0000-0002-2707-3272,sowi,0.95
0000-0002-2708-6823,sowi,0.95
0000-0002-2709-9595,phil,0.95
0000-0002-2717-8517,med,1
0000-0002-2718-1820,mint,0.95
0000-0002-2718-3738,med,1
0000-0002-2720-2222,med,1
0000-0002-2725-2617,mint,0.95
0000-0002-2727-0882,sowi,0.95
0000-0002-2733-6941,phil,0.95
0000-0002-2753-9845,sowi,0.95
0000-0002-2755-0374,mint,0.95
0000-0002-2755-5730,tech,0.95
0000-0002-2757-7761,mint,1
0000-0002-2772-264X,med,0.95
0000-0002-2775-7981,med,1
0000-0002-2781-5088,med,1
0000-0002-2788-4454,med,0.95
0000-0002-2810-961X,sowi,0.95
0000-0002-2819-069X,sowi,0.95
0000-0002-2822-7202,med,1
0000-0002-2824-7641,phil,0.95
0000-0002-2825-442X,mint,1
0000-0002-2825-5481,sowi,0.9
0000-0002-2827-6127,sowi,1
0000-0002-2831-0647,med,1
0000-0002-2833-3320,agrar,1
0000-0002-2834-8047,med,1
0000-0002-2841-872X,med,1
0000-0002-2846-8102,med,1
0000-0002-2849-7608,med,0.95
0000-0002-2853-7673,mint,1
0000-0002-2856-7303,sowi,0.95
0000-0002-2859-4002,med,1
0000-0002-2864-6087,mint,1
0000-0002-2871-246X,agrar,0.95
0000-0002-2873-9101,med,1
0000-0002-2874-4437,sowi,0.95
0000-0002-2889-7433,mint,1
0000-0002-2891-3448,med,0.95
0000-0002-2892-3742,sowi,1
0000-0002-2892-8658,agrar,1
0000-0002-2894-6119,mint,0.95
0000-0002-2895-1655,mint,0.95
0000-0002-2899-6415,phil,0.95
0000-0002-2900-8378,med,1
0000-0002-2906-2577,mint,1
0000-0002-2909-6785,med,0.95
0000-0002-2921-0664,med,1
0000-0002-2935-0296,med,0.95
0000-0002-2935-4641,sowi,0.95
0000-0002-2937-2380,sowi,0.95
0000-0002-2955-0757,mint,0.95
0000-0002-2966-0534,mint,1
0000-0002-2967-1508,sowi,0.95
0000-0002-2968-0949,med,1
0000-0002-2969-6641,sowi,0.95
0000-0002-2977-6123,med,1
0000-0002-2978-6321,mint,0.95
0000-0002-2980-5676,sowi,0.95
0000-0002-2982-2513,mint,0.95
0000-0002-2985-358X,sowi,0.95
0000-0002-2986-9282,sowi,0.95
0000-0002-2999-1712,mint,0.95
0000-0002-3001-1347,tech,0.95
0000-0002-3003-9999,mint,0.95
0000-0002-3008-5688,mint,0.95
0000-0002-3023-6968,mint,1
0000-0002-3023-9165,mint,1
0000-0002-3024-0211,mint,1
0000-0002-3025-3784,med,1
0000-0002-3026-7211,phil,0.95
0000-0002-3032-399X,NA,NA
0000-0002-3039-0025,phil,1
0000-0002-3061-2767,mint,0.95
0000-0002-3065-1926,phil,0.95
0000-0002-3067-6357,mint,0.95
0000-0002-3067-9056,med,1
0000-0002-3072-5817,agrar,1
0000-0002-3076-3960,med,1
0000-0002-3077-4598,mint,1
0000-0002-3079-0440,med,1
0000-0002-3083-2946,sowi,0.95
0000-0002-3083-8504,med,1
0000-0002-3088-6071,mint,0.95
0000-0002-3088-7082,sowi,0.95
0000-0002-3096-2599,mint,1
0000-0002-3099-7142,mint,1
0000-0002-3106-1151,mint,1
0000-0002-3111-580X,mint,1
0000-0002-3111-7944,mint,0.95
0000-0002-3112-9179,med,1
0000-0002-3116-8071,mint,1
0000-0002-3121-2861,mint,0.95
0000-0002-3123-0285,tech,0.95
0000-0002-3124-1398,med,1
0000-0002-3126-3888,agrar,1
0000-0002-3130-3982,med,1
0000-0002-3130-933X,med,1
0000-0002-3132-8960,sowi,0.9
0000-0002-3133-1414,mint,1
0000-0002-3133-9977,med,1
0000-0002-3134-8697,med,1
0000-0002-3135-9556,mint,0.95
0000-0002-3141-9264,agrar,0.95
0000-0002-3146-150X,mint,1
0000-0002-3153-7228,agrar,0.95
0000-0002-3155-5987,med,1
0000-0002-3165-3480,mint,1
0000-0002-3167-0862,mint,0.95
0000-0002-3172-1164,med,1
0000-0002-3183-7335,sowi,1
0000-0002-3184-9029,mint,1
0000-0002-3186-1773,sowi,1
0000-0002-3187-702X,med,1
0000-0002-3190-2600,phil,0.95
0000-0002-3201-3952,agrar,0.95
0000-0002-3207-2901,mint,1
0000-0002-3212-3561,agrar,1
0000-0002-3214-7707,sowi,0.95
0000-0002-3217-289X,med,0.95
0000-0002-3221-2249,med,1
0000-0002-3221-7541,med,1
0000-0002-3228-316X,phil,0.95
0000-0002-3229-407X,mint,0.95
0000-0002-3229-597X,med,1
0000-0002-3232-7409,mint,0.95
0000-0002-3241-4756,med,1
0000-0002-3243-8782,mint,1
0000-0002-3245-2314,rewi,1
0000-0002-3251-9021,sowi,0.95
0000-0002-3255-3019,med,1
0000-0002-3257-3087,phil,1
0000-0002-3262-2491,sowi,0.95
0000-0002-3265-0011,med,1
0000-0002-3269-4452,med,1
0000-0002-3270-4884,med,1
0000-0002-3270-610X,agrar,1
0000-0002-3272-9459,med,1
0000-0002-3273-2826,mint,1
0000-0002-3273-8435,med,1
0000-0002-3280-0198,sowi,0.95
0000-0002-3280-1166,mint,0.95
0000-0002-3281-7600,mint,1
0000-0002-3292-5652,sowi,1
0000-0002-3293-5770,agrar,1
0000-0002-3298-8434,med,1
0000-0002-3306-3484,mint,1
0000-0002-3308-324X,mint,1
0000-0002-3319-5655,agrar,0.95
0000-0002-3321-9266,med,0.95
0000-0002-3322-3425,mint,1
0000-0002-3323-807X,mint,1
0000-0002-3324-885X,mint,1
0000-0002-3328-2193,med,0.95
0000-0002-3338-8043,med,1
0000-0002-3341-669X,med,1
0000-0002-3347-3547,mint,1
0000-0002-3347-6254,jura,0.95
0000-0002-3350-0445,mint,1
0000-0002-3351-3588,mint,0.95
0000-0002-3354-3832,sowi,0.95
0000-0002-3354-4798,sowi,0.95
0000-0002-3355-8815,mint,0.95
0000-0002-3365-8146,mint,0.95
0000-0002-3365-9528,mint,1
0000-0002-3370-1669,sowi,0.95
0000-0002-3372-2021,med,0.95
0000-0002-3387-5343,mint,0.95
0000-0002-3388-0636,med,1
0000-0002-3406-2600,sowi,0.95
0000-0002-3415-0555,mint,0.95
0000-0002-3418-8094,sowi,0.95
0000-0002-3420-9510,sowi,1
0000-0002-3430-9378,mint,1
0000-0002-3431-8311,mint,0.95
0000-0002-3433-4258,med,1
0000-0002-3438-2161,mint,1
0000-0002-3442-9011,phil,0.95
0000-0002-3449-418X,mint,1
0000-0002-3450-8457,phil,0.95
0000-0002-3450-8748,phil,0.5
0000-0002-3451-7492,sowi,0.95
0000-0002-3452-0683,med,1
0000-0002-3455-5229,sowi,0.95
0000-0002-3461-2668,med,1
0000-0002-3462-0107,mint,1
0000-0002-3462-7552,agrar,0.95
0000-0002-3470-3260,med,0.95
0000-0002-3471-7523,sowi,0.95
0000-0002-3472-3819,agrar,1
0000-0002-3475-4842,mint,1
0000-0002-3480-7115,med,1
0000-0002-3480-8492,mint,1
0000-0002-3486-5067,sowi,0.95
0000-0002-3489-3834,mint,0.95
0000-0002-3490-7239,mint,1
0000-0002-3496-1649,sowi,0.95
0000-0002-3498-8024,agrar,0.95
0000-0002-3499-4328,med,0.95
0000-0002-3509-0232,med,0.95
0000-0002-3510-9255,med,1
0000-0002-3514-1976,med,1
0000-0002-3526-2962,sowi,0.95
0000-0002-3528-0554,agrar,0.95
0000-0002-3528-7860,mint,0.8
0000-0002-3528-8679,sowi,0.9
0000-0002-3535-7101,mint,0.95
0000-0002-3536-7131,sowi,0.95
0000-0002-3537-6011,med,1
0000-0002-3538-197X,phil,1
0000-0002-3539-4877,tech,0.95
0000-0002-3543-5974,med,0.95
0000-0002-3548-5357,sowi,0.95
0000-0002-3556-0660,tech,0.95
0000-0002-3570-0029,sowi,0.95
0000-0002-3578-3848,agrar,1
0000-0002-3580-2105,tech,0.95
0000-0002-3586-3194,med,1
0000-0002-3597-6367,med,1
0000-0002-3599-8574,sowi,0.95
0000-0002-3604-2259,agrar,0.95
0000-0002-3609-7954,sowi,0.95
0000-0002-3610-7219,mint,1
0000-0002-3610-9775,sowi,1
0000-0002-3610-9863,med,1
0000-0002-3612-7455,rewi,1
0000-0002-3616-0642,mint,0.95
0000-0002-3616-9815,sowi,1
0000-0002-3619-9985,sowi,0.95
0000-0002-3623-4963,mint,0.95
0000-0002-3624-9639,mint,1
0000-0002-3625-6695,sowi,0.95
0000-0002-3627-1844,tech,1
0000-0002-3637-8609,mint,0.95
0000-0002-3643-333X,agrar,1
0000-0002-3647-473X,mint,0.95
0000-0002-3655-6364,mint,0.95
0000-0002-3666-6459,med,1
0000-0002-3669-2892,med,1
0000-0002-3671-7420,sowi,0.95
0000-0002-3672-7696,med,1
0000-0002-3673-3826,agrar,0.95
0000-0002-3683-8759,phil,0.95
0000-0002-3685-7159,med,0.95
0000-0002-3690-3178,mint,1
0000-0002-3694-1465,mint,0.95
0000-0002-3695-3327,med,1
0000-0002-3697-972X,mint,0.95
0000-0002-3704-2381,mint,0.95
0000-0002-3708-1727,med,1
0000-0002-3726-8268,agrar,1
0000-0002-3735-9872,med,1
0000-0002-3738-9377,mint,0.95
0000-0002-3742-1015,mint,0.95
0000-0002-3747-0845,sowi,0.95
0000-0002-3763-3464,mint,1
0000-0002-3767-6376,med,1
0000-0002-3776-638X,med,1
0000-0002-3782-1983,sowi,1
0000-0002-3796-2874,mint,1
0000-0002-3799-469X,sowi,1
0000-0002-3808-9317,med,1
0000-0002-3814-2333,mint,0.95
0000-0002-3815-3446,mint,0.98
0000-0002-3816-6749,med,1
0000-0002-3820-8574,sowi,0.95
0000-0002-3824-5244,mint,1
0000-0002-3842-1236,med,1
0000-0002-3842-1447,mint,0.9
0000-0002-3844-8041,med,1
0000-0002-3846-4279,mint,0.95
0000-0002-3849-4339,mint,1
0000-0002-3852-4454,phil,0.95
0000-0002-3861-1005,mint,0.95
0000-0002-3867-7215,mint,1
0000-0002-3876-7739,sowi,0.95
0000-0002-3885-412X,sowi,0.95
0000-0002-3890-502X,med,1
0000-0002-3891-0136,mint,0.95
0000-0002-3892-1433,mint,0.95
0000-0002-3893-9633,sowi,0.95
0000-0002-3901-2258,mint,0.95
0000-0002-3901-3496,sowi,0.95
0000-0002-3906-375X,phil,0.95
0000-0002-3906-5544,sowi,0.95
0000-0002-3916-0357,med,1
0000-0002-3916-215X,sowi,0.85
0000-0002-3918-464X,sowi,0.95
0000-0002-3922-7099,agrar,1
0000-0002-3924-0971,med,1
0000-0002-3927-6616,tech,0.95
0000-0002-3942-0235,sowi,0.95
0000-0002-3943-0564,med,1
0000-0002-3946-5695,sowi,0.95
0000-0002-3947-3679,mint,1
0000-0002-3951-8638,sowi,0.95
0000-0002-3952-0893,mint,1
0000-0002-3961-518X,mint,1
0000-0002-3964-997X,med,1
0000-0002-3971-5842,med,1
0000-0002-3975-3822,med,1
0000-0002-3990-3771,med,1
0000-0002-3992-2171,mint,0.85
0000-0002-4000-5362,mint,0.95
0000-0002-4033-2996,sowi,0.95
0000-0002-4040-0215,mint,1
0000-0002-4048-2978,med,1
0000-0002-4051-6824,med,0.95
0000-0002-4053-2824,agrar,0.95
0000-0002-4054-1149,sowi,0.95
0000-0002-4068-1539,med,1
0000-0002-4068-2072,sowi,1
0000-0002-4068-9071,sowi,0.95
0000-0002-4071-0512,agrar,1
0000-0002-4071-1590,sowi,0.95
0000-0002-4075-4603,med,1
0000-0002-4091-8620,sowi,0.95
0000-0002-4109-3317,mint,1
0000-0002-4121-5011,sowi,1
0000-0002-4122-1091,mint,0.95
0000-0002-4123-3850,med,1
0000-0002-4133-9612,mint,1
0000-0002-4140-2669,mint,1
0000-0002-4140-8876,mint,0.95
0000-0002-4147-9340,sowi,0.95
0000-0002-4149-5666,med,1
0000-0002-4149-9480,sowi,0.95
0000-0002-4159-6635,sowi,0.95
0000-0002-4160-7103,med,0.95
0000-0002-4161-205X,agrar,0.95
0000-0002-4163-4224,sowi,0.95
0000-0002-4168-2795,med,1
0000-0002-4173-2166,med,1
0000-0002-4177-6644,mint,0.95
0000-0002-4182-3332,sowi,1
0000-0002-4186-5997,mint,0.95
0000-0002-4190-8133,sowi,0.95
0000-0002-4194-4927,mint,0.95
0000-0002-4203-8483,sowi,0.95
0000-0002-4204-6547,tech,1
0000-0002-4208-7592,agrar,0.95
0000-0002-4211-0625,mint,1
0000-0002-4233-9403,mint,0.95
0000-0002-4234-7833,med,0.95
0000-0002-4236-0739,phil,0.9
0000-0002-4237-9480,med,1
0000-0002-4239-5843,agrar,0.95
0000-0002-4245-8306,agrar,0.95
0000-0002-4247-3776,mint,1
0000-0002-4255-7144,med,1
0000-0002-4258-0651,med,1
0000-0002-4271-5739,med,1
0000-0002-4273-1376,med,1
0000-0002-4278-1963,mint,1
0000-0002-4287-1205,mint,0.95
0000-0002-4298-4605,sowi,0.95
0000-0002-4298-9617,mint,1
0000-0002-4299-8791,mint,1
0000-0002-4300-5675,mint,1
0000-0002-4319-017X,mint,1
0000-0002-4319-1842,sowi,0.95
0000-0002-4331-518X,mint,0.95
0000-0002-4332-6110,med,0.95
0000-0002-4337-6169,mint,1
0000-0002-4342-4837,sowi,1
0000-0002-4343-5886,mint,1
0000-0002-4348-5066,med,1
0000-0002-4352-0386,mint,1
0000-0002-4352-5195,agrar,0.95
0000-0002-4368-9165,mint,0.95
0000-0002-4371-6434,agrar,1
0000-0002-4374-1197,sowi,1
0000-0002-4374-8903,sowi,0.95
0000-0002-4390-6086,mint,1
0000-0002-4391-4182,med,1
0000-0002-4391-7308,sowi,0.95
0000-0002-4392-6167,mint,1
0000-0002-4395-0570,phil,0.95
0000-0002-4403-9359,sowi,1
0000-0002-4406-9654,agrar,1
0000-0002-4409-9896,med,1
0000-0002-4411-3299,agrar,1
0000-0002-4430-3519,med,1
0000-0002-4441-9474,mint,0.95
0000-0002-4451-8894,sowi,1
0000-0002-4453-1204,mint,1
0000-0002-4453-9564,mint,1
0000-0002-4458-9334,sowi,0.95
0000-0002-4467-642X,mint,1
0000-0002-4474-5296,sowi,0.95
0000-0002-4480-1091,sowi,0.95
0000-0002-4486-6231,med,1
0000-0002-4490-1746,mint,0.95
0000-0002-4492-696X,med,1
0000-0002-4492-8869,mint,1
0000-0002-4493-0395,med,0.95
0000-0002-4496-0383,mint,0.95
0000-0002-4497-1920,mint,0.95
0000-0002-4499-0275,phil,0.95
0000-0002-4505-0592,tech,1
0000-0002-4514-2462,NA,NA
0000-0002-4522-2788,med,1
0000-0002-4526-2472,mint,1
0000-0002-4538-877X,med,1
0000-0002-4544-8242,mint,1
0000-0002-4548-7241,med,1
0000-0002-4562-9254,sowi,0.9
0000-0002-4563-3675,med,1
0000-0002-4570-7507,sowi,0.95
0000-0002-4582-6610,sowi,0.9
0000-0002-4589-7814,mint,1
0000-0002-4596-946X,mint,1
0000-0002-4603-6485,mint,0.95
0000-0002-4603-9504,med,1
0000-0002-4604-9868,sowi,1
0000-0002-4608-0072,mint,1
0000-0002-4608-7821,mint,1
0000-0002-4612-2818,agrar,0.95
0000-0002-4622-6051,med,1
0000-0002-4623-5070,mint,0.95
0000-0002-4640-6503,agrar,0.95
0000-0002-4651-3616,mint,1
0000-0002-4655-1743,mint,0.95
0000-0002-4655-6501,agrar,0.95
0000-0002-4656-7104,phil,0.95
0000-0002-4663-6587,med,1
0000-0002-4673-4806,mint,0.9
0000-0002-4673-6190,sowi,0.95
0000-0002-4679-7137,med,1
0000-0002-4681-7476,mint,1
0000-0002-4686-7780,sowi,0.95
0000-0002-4697-1342,mint,0.95
0000-0002-4706-4533,sowi,1
0000-0002-4712-2107,sowi,0.95
0000-0002-4714-7275,med,1
0000-0002-4717-7618,med,1
0000-0002-4728-9548,med,1
0000-0002-4729-1920,med,0.95
0000-0002-4733-074X,sowi,0.95
0000-0002-4733-2243,sowi,0.95
0000-0002-4735-774X,jura,1
0000-0002-4741-1179,mint,1
0000-0002-4741-6682,sowi,1
0000-0002-4742-050X,med,1
0000-0002-4743-1559,sowi,0.95
0000-0002-4756-1679,phil,1
0000-0002-4764-6867,sowi,0.95
0000-0002-4765-279X,sowi,0.95
0000-0002-4768-1785,med,0.95
0000-0002-4778-2797,med,1
0000-0002-4781-2386,agrar,1
0000-0002-4785-1449,med,1
0000-0002-4795-5803,sowi,0.95
0000-0002-4796-3053,mint,0.95
0000-0002-4799-2102,agrar,1
0000-0002-4802-3872,mint,0.95
0000-0002-4812-3312,sowi,0.95
0000-0002-4827-4014,med,1
0000-0002-4829-5114,NA,NA
0000-0002-4829-5237,mint,1
0000-0002-4832-1546,mint,1
0000-0002-4832-1976,sowi,0.95
0000-0002-4834-6022,med,1
0000-0002-4834-7965,mint,0.95
0000-0002-4835-3695,med,1
0000-0002-4837-666X,agrar,0.95
0000-0002-4842-2451,med,1
0000-0002-4842-7076,mint,0.95
0000-0002-4846-1434,mint,1
0000-0002-4863-6740,agrar,0.95
0000-0002-4867-9935,mint,0.95
0000-0002-4880-7773,med,1
0000-0002-4882-7942,med,1
0000-0002-4883-8756,sowi,1
0000-0002-4888-7048,sowi,0.95
0000-0002-4891-0674,sowi,0.95
0000-0002-4898-3013,sowi,0.95
0000-0002-4903-9542,med,0.95
0000-0002-4907-4348,sowi,0.95
0000-0002-4909-3127,mint,0.95
0000-0002-4910-288X,sowi,0.95
0000-0002-4912-2848,mint,1
0000-0002-4913-4726,agrar,0.95
0000-0002-4927-8033,med,1
0000-0002-4933-5931,mint,0.95
0000-0002-4939-590X,mint,1
0000-0002-4941-2845,mint,0.95
0000-0002-4943-2141,med,1
0000-0002-4943-4462,mint,0.95
0000-0002-4954-7520,sowi,1
0000-0002-4958-5367,agrar,0.95
0000-0002-4961-6565,mint,1
0000-0002-4962-5330,sowi,0.95
0000-0002-4965-1862,sowi,0.95
0000-0002-4968-0620,phil,0.95
0000-0002-4976-2431,agrar,1
0000-0002-4977-351X,agrar,1
0000-0002-4983-5645,agrar,1
0000-0002-4985-5275,phil,0.85
0000-0002-4987-5399,mint,1
0000-0002-4994-0453,sowi,0.95
0000-0002-4995-4951,med,0.95
0000-0002-4998-0586,med,1
0000-0002-5009-8830,med,0.95
0000-0002-5014-4593,sowi,0.95
0000-0002-5018-8174,mint,1
0000-0002-5023-3887,med,1
0000-0002-5025-7213,sowi,1
0000-0002-5033-1938,med,1
0000-0002-5034-937X,mint,0.95
0000-0002-5038-3850,phil,0.9
0000-0002-5044-6508,med,1
0000-0002-5052-0763,mint,1
0000-0002-5057-6038,mint,1
0000-0002-5057-899X,mint,1
0000-0002-5059-6477,med,1
0000-0002-5064-6155,med,1
0000-0002-5068-7117,mint,1
0000-0002-5072-0220,agrar,0.95
0000-0002-5081-8498,sowi,0.95
0000-0002-5097-8141,med,0.95
0000-0002-5100-9916,med,1
0000-0002-5102-4040,sowi,0.95
0000-0002-5108-1993,sowi,0.95
0000-0002-5108-2558,mint,1
0000-0002-5108-6612,sowi,0.95
0000-0002-5111-6519,agrar,0.95
0000-0002-5118-9523,med,1
0000-0002-5120-5140,med,1
0000-0002-5121-1460,med,1
0000-0002-5122-8924,sowi,0.95
0000-0002-5126-2612,sowi,0.95
0000-0002-5127-2271,mint,1
0000-0002-5128-0415,phil,1
0000-0002-5128-722X,sowi,1
0000-0002-5129-2432,sowi,0.85
0000-0002-5132-2961,mint,1
0000-0002-5135-1914,med,1
0000-0002-5136-4774,mint,0.95
0000-0002-5137-9976,med,1
0000-0002-5148-8136,mint,1
0000-0002-5155-5415,mint,0.95
0000-0002-5157-5221,mint,0.95
0000-0002-5173-9492,med,1
0000-0002-5176-0507,med,0.95
0000-0002-5178-0364,med,1
0000-0002-5179-5005,mint,1
0000-0002-5184-2860,med,1
0000-0002-5186-519X,mint,1
0000-0002-5189-5487,mint,1
0000-0002-5189-6615,med,1
0000-0002-5191-0122,med,1
0000-0002-5192-4858,mint,0.95
0000-0002-5196-7575,mint,1
0000-0002-5199-1495,sowi,0.95
0000-0002-5203-809X,sowi,0.95
0000-0002-5204-8482,sowi,0.95
0000-0002-5208-8556,sowi,0.95
0000-0002-5211-5593,med,1
0000-0002-5216-9110,mint,1
0000-0002-5220-5943,sowi,1
0000-0002-5221-5922,mint,0.95
0000-0002-5225-8164,mint,0.95
0000-0002-5236-3116,mint,0.95
0000-0002-5242-6957,med,1
0000-0002-5249-4044,mint,0.95
0000-0002-5252-1719,med,1
0000-0002-5252-4485,agrar,1
0000-0002-5256-3070,mint,0.95
0000-0002-5257-604X,mint,1
0000-0002-5276-0058,mint,1
0000-0002-5279-1444,mint,0.95
0000-0002-5279-7758,sowi,0.95
0000-0002-5280-1075,sowi,1
0000-0002-5287-1110,mint,1
0000-0002-5293-5604,mint,0.95
0000-0002-5310-0385,sowi,0.95
0000-0002-5310-9849,med,1
0000-0002-5312-2226,mint,1
0000-0002-5318-665X,mint,0.9
0000-0002-5319-9477,sowi,0.95
0000-0002-5320-4002,sowi,0.95
0000-0002-5325-3939,phil,0.95
0000-0002-5325-8182,med,1
0000-0002-5329-9697,mint,1
0000-0002-5330-6885,sowi,0.85
0000-0002-5336-0582,sowi,0.95
0000-0002-5341-9951,mint,1
0000-0002-5342-0450,mint,1
0000-0002-5344-4188,mint,0.95
0000-0002-5348-2512,mint,1
0000-0002-5357-3174,mint,0.95
0000-0002-5357-4230,mint,1
0000-0002-5368-6136,sowi,0.95
0000-0002-5370-199X,mint,1
0000-0002-5375-205X,sowi,0.95
0000-0002-5376-9011,mint,0.9
0000-0002-5377-3344,mint,0.95
0000-0002-5397-3047,med,1
0000-0002-5405-9716,med,1
0000-0002-5409-0799,sowi,0.95
0000-0002-5416-0179,sowi,0.95
0000-0002-5418-0831,med,0.95
0000-0002-5429-5292,sowi,0.95
0000-0002-5435-1880,sowi,0.95
0000-0002-5435-4037,sowi,1
0000-0002-5439-0564,sowi,0.95
0000-0002-5439-6464,mint,1
0000-0002-5440-7805,med,1
0000-0002-5452-2424,mint,0.95
0000-0002-5453-8960,med,1
0000-0002-5456-6881,med,1
0000-0002-5461-3289,tech,1
0000-0002-5467-9253,med,1
0000-0002-5469-105X,mint,1
0000-0002-5476-3244,agrar,1
0000-0002-5481-4822,med,1
0000-0002-5482-7754,phil,1
0000-0002-5483-9616,med,1
0000-0002-5486-0765,med,0.95
0000-0002-5491-2609,mint,1
0000-0002-5514-4146,med,1
0000-0002-5518-0411,sowi,0.95
0000-0002-5534-1107,med,1
0000-0002-5539-7653,sowi,1
0000-0002-5549-5018,mint,1
0000-0002-5560-3605,med,1
0000-0002-5565-5536,med,1
0000-0002-5566-3472,med,1
0000-0002-5578-0193,sowi,0.85
0000-0002-5591-6724,mint,0.95
0000-0002-5599-5792,mint,1
0000-0002-5606-9272,mint,0.95
0000-0002-5616-7833,med,1
0000-0002-5620-1528,med,1
0000-0002-5623-5584,mint,0.95
0000-0002-5624-4413,sowi,0.9
0000-0002-5636-7704,mint,1
0000-0002-5652-3631,agrar,1
0000-0002-5652-7499,med,1
0000-0002-5654-239X,sowi,0.95
0000-0002-5668-307X,med,1
0000-0002-5669-9979,med,1
0000-0002-5670-2808,mint,1
0000-0002-5677-1096,sowi,0.95
0000-0002-5680-1734,mint,1
0000-0002-5682-9665,med,0.95
0000-0002-5687-0270,NA,NA
0000-0002-5687-5776,med,0.95
0000-0002-5689-3448,med,1
0000-0002-5693-5513,mint,1
0000-0002-5700-2029,med,0.95
0000-0002-5709-7507,mint,0.98
0000-0002-5712-8203,mint,1
0000-0002-5713-9682,mint,1
0000-0002-5715-9210,med,1
0000-0002-5717-1623,mint,1
0000-0002-5719-9634,tech,0.8
0000-0002-5722-7869,phil,0.95
0000-0002-5745-4797,med,1
0000-0002-5757-4553,mint,1
0000-0002-5760-1662,sowi,0.95
0000-0002-5761-560X,mint,1
0000-0002-5772-7863,mint,1
0000-0002-5777-5347,mint,1
0000-0002-5784-0647,sowi,0.95
0000-0002-5793-2285,mint,0.95
0000-0002-5804-4511,mint,0.95
0000-0002-5807-1632,mint,1
0000-0002-5815-7217,mint,0.95
0000-0002-5817-5589,med,1
0000-0002-5819-777X,med,1
0000-0002-5823-3208,med,1
0000-0002-5825-8069,mint,1
0000-0002-5826-1217,med,1
0000-0002-5827-7964,mint,1
0000-0002-5846-4321,sowi,0.9
0000-0002-5848-033X,sowi,0.5
0000-0002-5850-002X,mint,0.95
0000-0002-5852-9519,NA,NA
0000-0002-5854-1323,phil,0.95
0000-0002-5862-9229,sowi,0.95
0000-0002-5863-0203,sowi,0.95
0000-0002-5866-9423,med,1
0000-0002-5878-4026,tech,0.95
0000-0002-5878-8887,med,1
0000-0002-5880-6280,agrar,0.95
0000-0002-5884-1318,mint,1
0000-0002-5891-3879,phil,1
0000-0002-5893-2527,med,1
0000-0002-5894-1677,med,1
0000-0002-5899-1738,med,1
0000-0002-5899-9748,mint,0.95
0000-0002-5899-9959,mint,0.95
0000-0002-5903-9976,sowi,1
0000-0002-5907-4245,med,1
0000-0002-5911-805X,sowi,0.95
0000-0002-5916-3061,phil,0.95
0000-0002-5920-8709,mint,0.95
0000-0002-5924-796X,med,1
0000-0002-5936-5464,sowi,0.95
0000-0002-5942-8664,mint,0.95
0000-0002-5945-4336,med,1
0000-0002-5953-6497,med,1
0000-0002-5956-3006,med,1
0000-0002-5956-8309,med,1
0000-0002-5957-4100,sowi,0.95
0000-0002-5960-930X,mint,1
0000-0002-5961-7617,mint,1
0000-0002-5976-3470,med,1
